District,avg_r,avg_g,avg_b,warmth
308,136.82510399710617,244.2477844094773,154.640350877193,-17.815246880086818
410,113.92102893296696,223.0035790980673,157.0937030964971,-43.17267416353015
206,121.00154246601754,245.6204569555577,141.7306468716861,-20.729104405668565
480,146.1843609952094,217.21920877762324,188.93602225312935,-42.75166125791995
104,118.91338139220545,206.55158819553952,143.27889164226178,-24.36551025005633
107,102.70539845758354,198.4828791773779,130.4347557840617,-27.729357326478166
503,148.79962632389683,201.83577414338254,203.68772617722712,-54.88809985333029
595,140.0,177.0,248.0,-108.0
207,118.24750805091243,244.46672289526146,139.8182027296427,-21.570694678730277
317,101.61818741209564,245.3615506329114,124.0612693389592,-22.44308192686357
481,118.8525129982669,245.61585788561524,138.70433275563258,-19.851819757365675
227,135.0604237509809,245.48090504839132,153.09979074025634,-18.039366989275436
409,137.39477219514066,242.92181322688367,155.19245384408705,-17.797681648946394
316,141.305296694544,244.69589804858623,159.3869374751095,-18.081640780565493
413,198.08639468557075,216.06151264054836,203.62027886669327,-5.533884181122517
483,150.25789259410044,219.1311114400977,182.92344276250046,-32.66555016840002
208,144.15609245073006,223.75145681922348,158.99450009821254,-14.838407647482484
226,197.20273126320924,219.7484148918875,206.97870264997562,-9.775971386766372
312,89.48634310109007,211.37298462303644,108.36651883781656,-18.880175736726486
314,90.05840405765078,214.32064480490132,109.0474564354944,-18.98905237784362
315,123.64434489328288,177.65567312891017,198.66561108107413,-75.02126618779126
313,140.01519288664846,176.98223412448365,247.91979976195478,-107.90460687530631
401,120.75256378189094,218.96118892779722,156.56265632816408,-35.81009254627314
102,117.67040538375261,206.7534049030604,146.83015542381028,-29.159750040057673
402,105.51488626547653,228.96898934638642,126.01099913619349,-20.496112870716956
356,134.68513540853783,180.55390810909756,224.35818954305037,-89.67305413451254
406,102.47236055776892,235.5191733067729,123.96235059760956,-21.489990039840634
482,137.98097502972652,245.56616273144215,155.986920332937,-18.005945303210467
201,147.88059701492537,239.36052613644108,172.0917331152457,-24.211136100320317
202,132.89696734059098,225.11698634871263,178.42668913081044,-45.52972179021947
310,129.76385999265696,185.9539428058581,212.7977603720475,-83.03390037939053
311,121.68746056981351,202.76889494536553,191.12049864991042,-69.4330380800969
205,143.43520991347077,245.33073389595128,160.33490011750882,-16.899690204038052
405,101.19576533894835,218.42397301670857,120.32418942894465,-19.1284240899963
304,134.00683835297542,242.0926087589117,152.33246035210243,-18.32562199912701
210,140.7345273314059,185.37900053788744,224.03604686344383,-83.30151953203793
414,140.54513274336284,177.26761061946902,247.67009470579103,-107.12496196242819
484,145.0207990344742,186.32842730704957,236.62836850900538,-91.60756947453118
408,133.5690832572359,244.7888394806845,151.87473696748322,-18.305653710247327
412,158.68808881350705,238.98647752679054,172.507609282245,-13.819520468737949
305,117.58301219447817,208.26239244047935,162.24708335532915,-44.66407116085098
318,107.14402842306642,208.93907046283942,165.97490474735946,-58.830876324293044
403,124.78038074570921,237.64790885776287,154.95447820082856,-30.17409745511935
404,100.39236937727102,233.91580002505953,122.98076682120035,-22.588397443929324
105,114.42424527414653,201.01777485187623,128.19194959089626,-13.767704316749729
103,106.50778853671738,206.73687375954773,140.00529259637938,-33.49750405966199
407,123.01686069490856,220.6349394560023,159.34121123926556,-36.324350544357
411,141.5041439256115,229.49009500707498,155.82614282826532,-14.321998902653831
106,120.18369098712446,201.71347639484978,168.21854077253218,-48.034849785407715
301,98.91508803885853,225.56845780206436,119.2200364298725,-20.304948391013966
110,136.82469962576326,244.53978727595037,157.41028166239906,-20.5855820366358
164,110.00536883925696,208.57693546655213,127.49028240094492,-17.48491356168796
212,193.2933644389067,223.89796134779036,199.03533840566263,-5.741973966755921
228,148.36867459230123,187.0897600212136,214.62832014849516,-66.25964555619393
109,135.42145233163873,237.68875917906232,165.89003954057617,-30.468587208937436
112,125.05343559439241,231.81822468095808,160.7074244043503,-35.65398880995788
302,97.09785062322112,213.4948964569634,115.31072725488272,-18.2128766316616
303,123.9301867219917,245.90015560165975,143.88376556016598,-19.95357883817428
108,120.99879587155964,211.51852064220182,156.1532110091743,-35.15441513761466
111,128.78483708705306,218.2566728599266,168.17632664159152,-39.39148955453845
203,146.97132616487454,245.3753331495267,165.10844591489752,-18.137119750022975
204,145.90213364942954,245.30063713142687,162.89013187138835,-16.987998221958804
307,99.47961694842714,208.37486625294244,126.09830408731008,-26.618687138882947
209,105.13071796425325,238.54101787337171,136.8820357467434,-31.751317782490162
211,123.41028163817488,230.0063132865986,146.19374410691591,-22.783462468741035
501,90.84704307721162,198.97042650957792,116.06449220381752,-25.2174491266059
502,123.19792617892735,180.35175895289035,187.1013389309899,-63.90341275206255
309,133.03421914816164,244.97042227884967,151.63824171823808,-18.604022570076438
355,114.01008827238336,239.99637452711224,134.67701765447666,-20.6669293820933
101,121.64390152227026,198.7680135312911,176.88558541627515,-55.24168389400489
306,101.70333169305583,203.55423046863692,146.4334385040669,-44.73010681101108
